words,record_id
1524,1000
1490,1001
1411,1002
4371,1003
4772,1004
2033,1005
2909,1006
2591,1007
2759,1009
4379,1010
2670,1011
2653,1012
2593,1013
2313,1014
1632,1015
4729,1016
5001,1017
5144,1018
1945,1019
1289,1020
5946,1021
2172,1022
546,1023
1825,1024
2835,1025
2229,1026
5605,1027
2819,1028
1199,1029
4929,1030
3443,1031
6968,1032
3528,1033
3959,1034
4932,1035
2116,1036
3346,1037
2189,1038
4270,1039
3484,1040
1922,1041
4262,1042
2713,1043
2186,1044
4151,1045
2299,1046
3724,1047
4821,1048
1342,1049
1991,1050
1255,1051
2571,1052
5098,1053
3601,1054
4897,1055
1458,1056
1403,1057
1739,1058
2853,1059
4263,1060
4318,1061
1536,1062
3126,1063
2417,1064
3326,1065
3356,1066
7236,1067
2273,1068
2553,1069
1167,1070
2832,1071
2523,1072
1409,1073
2205,1074
1401,1075
1968,1076
6058,1077
2077,1078
4695,1079
9116,1080
5989,1081
4151,1082
4683,1083
2545,1084
8699,1085
2930,1086
3613,1087
4942,1088
5660,1089
2537,1090
2847,1091
5547,1092
3684,1093
3188,1094
2247,1095
1391,1096
2258,1097
1691,1098
10830,1099
1095,1100
3802,1101
1564,1102
3474,1103
10692,1104
2536,1105
3006,1106
3797,1107
2158,1108
1662,1109
3256,1110
3533,1111
931,1112
3999,1113
6044,1114
2516,1115
4491,1116
4793,1117
6069,1118
5112,1119
5328,1120
2412,1121
4276,1122
2786,1123
2731,1124
2803,1125
3744,1126
5699,1127
4169,1128
4366,1129
1899,1130
1168,1131
2971,1132
2161,1133
3643,1134
2296,1135
4404,1136
990,1137
2348,1138
5299,1139
1290,1140
2655,1141
3631,1142
3560,1143
4261,1144
2332,1145
2443,1146
4216,1147
4026,1148
5356,1149
2468,1150
2653,1151
4253,1152
24,1153
3386,1154
1919,1155
10626,1156
5127,1157
3125,1158
1249,1159
3172,1160
3827,1161
3133,1162
5797,1163
3867,1164
1922,1165
2853,1166
3654,1167
2143,1168
4021,1169
2427,1170
2708,1171
3197,1172
4697,1173
4828,1174
5393,1175
2192,1176
2895,1177
1641,1178
1845,1179
3783,1180
1897,1181
3495,1182
1425,1183
4037,1184
5699,1185
3284,1186
3145,1187
5439,1188
2800,1189
4625,1190
2000,1191
1911,1192
1279,1193
1977,1194
3758,1195
6465,1196
2874,1197
3691,1198
2252,1199