record_id,tokens
1000,907
1001,593
1002,318
1003,916
1004,145
1005,302
1006,1001
1007,337
1008,375
1009,340
1010,286
1011,1001
1012,213
1013,340
1014,440
1015,482
1016,508
1017,815
1018,381
1019,376
1020,228
1021,669
1022,1001
1023,233
1024,255
1025,1001
1026,229
1027,733
1028,417
1029,378
1030,785
1031,320
1032,320
1033,326
1034,283
1035,297
1036,446
1037,230
1038,610
1039,368
1040,918
1041,214
1042,451
1043,1001
1044,320
1045,352
1046,503
1047,522
1048,253
1049,269
1050,228
1051,246
1052,419
1053,459
1054,233
1055,853
1056,407
1057,221
1058,922
1059,297
1060,1054
1061,552
1062,295
1063,647
1064,954
1065,229
1066,346
1067,880
1068,202
1069,605
1070,769
1071,683
1072,343
1073,381
1074,242
1075,166
1076,576
1077,373
1078,427
1079,784
1080,441
1081,766
1082,513
1083,863
1084,1001
1085,527
1086,584
1087,353
1088,819
1089,682
1090,770
1091,256
1092,678
1093,891
1094,1001
1095,291
1096,509
1097,579
1098,222
1099,336
1100,345
1101,376
1102,461
1103,853
1104,347
1105,478
1106,604
1107,276
1108,591
1109,256
1110,813
1111,1001
1112,211
1113,983
1114,856
1115,1001
1116,307
1117,413
1118,363
1119,910
1120,574
1121,696
1122,288
1123,391
1124,1001
1125,317
1126,280
1127,721
1128,628
1129,581
1130,195
1131,573
1132,551
1133,337
1134,842
1135,434
1136,833
1137,384
1138,383
1139,312
1140,308
1141,542
1142,355
1143,831
1144,1001
1145,316
1146,261
1147,315
1148,302
1149,509
1150,841
1151,275
1152,260
1153,320
1154,806
1155,720
1156,934
1157,754
1158,518
1159,272
1160,309
1161,254
1162,454
1163,691
1164,405
1165,206
1166,869
1167,477
1168,839
1169,391
1170,607
1171,748
1172,1001
1173,255
1174,472
1175,641
1176,572
1177,307
1178,667
1179,314
1180,279
1181,210
1182,504
1183,613
1184,391
1185,387
1186,650
1187,1001
1188,869
1189,289
1190,890
1191,836
1192,611
1193,1001
1194,951
1195,323
1196,807
1197,342
1198,508
1199,225