record_id,char
1000,607
1001,436
1002,205
1003,748
1004,115
1005,200
1006,807
1007,220
1008,228
1009,225
1010,188
1011,675
1012,148
1013,261
1014,287
1015,350
1016,389
1017,566
1018,239
1019,258
1020,156
1021,398
1022,663
1023,171
1024,217
1025,803
1026,166
1027,458
1028,290
1029,266
1030,548
1031,226
1032,204
1033,202
1034,189
1035,202
1036,280
1037,159
1038,486
1039,256
1040,555
1041,152
1042,305
1043,676
1044,251
1045,217
1046,339
1047,354
1048,160
1049,176
1050,165
1051,170
1052,321
1053,346
1054,160
1055,646
1056,302
1057,163
1058,767
1059,209
1060,522
1061,383
1062,220
1063,470
1064,558
1065,155
1066,244
1067,579
1068,143
1069,424
1070,537
1071,502
1072,237
1073,288
1074,151
1075,124
1076,487
1077,259
1078,353
1079,581
1080,284
1081,552
1082,388
1083,519
1084,732
1085,343
1086,433
1087,236
1088,533
1089,465
1090,511
1091,183
1092,499
1093,598
1094,571
1095,204
1096,346
1097,494
1098,168
1099,218
1100,226
1101,296
1102,327
1103,533
1104,218
1105,272
1106,420
1107,195
1108,445
1109,179
1110,573
1111,565
1112,143
1113,625
1114,570
1115,735
1116,203
1117,422
1118,247
1119,733
1120,373
1121,524
1122,203
1123,264
1124,518
1125,213
1126,197
1127,554
1128,426
1129,376
1130,140
1131,459
1132,3053
1133,225
1134,505
1135,330
1136,634
1137,298
1138,301
1139,202
1140,216
1141,390
1142,231
1143,470
1144,735
1145,215
1146,172
1147,197
1148,198
1149,346
1150,541
1151,205
1152,168
1153,251
1154,559
1155,551
1156,496
1157,552
1158,372
1159,188
1160,206
1161,174
1162,292
1163,524
1164,270
1165,147
1166,578
1167,346
1168,447
1169,256
1170,413
1171,415
1172,701
1173,159
1174,531
1175,444
1176,372
1177,194
1178,525
1179,220
1180,199
1181,152
1182,368
1183,464
1184,192
1185,254
1186,472
1187,701
1188,683
1189,188
1190,713
1191,622
1192,435
1193,803
1194,713
1195,222
1196,544
1197,220
1198,366
1199,166