record_id,redcap_event_name,start_time,end_time
1000,human_evaluations_arm_2,"2024-10-19 08:48:33","2024-10-19 09:01:16"
1000,human_evaluations_arm_3,,
1000,human_evaluations_arm_4,"2024-10-22 07:56:03","2024-10-22 08:08:23"
1000,human_evaluations_arm_5,,"2024-10-22 13:20:59"
1000,human_evaluations_arm_6,"2024-11-20 13:25:19","2024-11-20 13:33:56"
1000,human_evaluations_arm_9,"2024-10-21 14:12:03","2024-10-21 14:22:14"
1000,human_evaluations_arm_10,"2024-10-21 09:31:37","2024-10-21 10:52:35"
1001,human_evaluations_arm_2,"2024-10-19 09:02:20","2024-10-19 09:12:35"
1001,human_evaluations_arm_3,,
1001,human_evaluations_arm_4,"2024-10-22 08:10:34","2024-10-22 08:22:15"
1001,human_evaluations_arm_5,"2024-10-22 13:46:15","2024-10-22 14:17:18"
1001,human_evaluations_arm_6,"2024-11-20 14:19:36","2024-11-20 14:26:51"
1001,human_evaluations_arm_9,"2024-10-21 14:40:59","2024-10-21 14:48:56"
1001,human_evaluations_arm_10,"2024-10-21 10:53:13","2024-10-21 11:09:20"
1002,human_evaluations_arm_2,"2024-10-19 09:14:25","2024-10-19 09:24:31"
1002,human_evaluations_arm_3,,
1002,human_evaluations_arm_4,"2024-10-22 08:32:19","2024-10-22 08:44:14"
1002,human_evaluations_arm_5,"2024-10-22 14:45:00","2024-10-22 15:14:18"
1002,human_evaluations_arm_6,"2024-11-20 14:31:17","2024-11-20 14:41:31"
1002,human_evaluations_arm_9,"2024-10-21 15:55:01","2024-10-21 16:13:13"
1002,human_evaluations_arm_10,"2024-10-21 11:11:01","2024-10-21 11:40:18"
1003,human_evaluations_arm_2,,
1003,human_evaluations_arm_3,"2024-10-22 20:49:48","2024-10-22 21:06:29"
1003,human_evaluations_arm_4,"2024-10-31 08:47:56","2024-10-31 09:05:47"
1003,human_evaluations_arm_5,,
1003,human_evaluations_arm_6,"2024-11-20 10:42:01","2024-11-20 11:06:11"
1003,human_evaluations_arm_9,"2024-10-29 10:46:25","2024-10-29 11:14:55"
1003,human_evaluations_arm_10,"2024-10-29 10:05:12","2024-10-29 10:24:34"
1004,human_evaluations_arm_2,"2024-10-20 19:40:06","2024-10-20 19:52:19"
1004,human_evaluations_arm_3,,
1004,human_evaluations_arm_4,"2024-10-31 09:06:06","2024-10-31 09:16:50"
1004,human_evaluations_arm_5,,
1004,human_evaluations_arm_6,"2024-11-20 17:41:52","2024-11-20 17:56:57"
1004,human_evaluations_arm_9,,
1004,human_evaluations_arm_10,"2024-10-29 10:25:04","2024-10-29 10:51:55"
1005,human_evaluations_arm_2,"2024-10-20 20:12:15","2024-10-20 20:23:16"
1005,human_evaluations_arm_3,,
1005,human_evaluations_arm_4,"2024-10-31 11:37:03","2024-10-31 11:44:36"
1005,human_evaluations_arm_5,,
1005,human_evaluations_arm_6,"2024-11-20 18:30:59","2024-11-20 18:43:38"
1005,human_evaluations_arm_9,"2024-10-29 12:11:19","2024-10-29 12:24:29"
1005,human_evaluations_arm_10,"2024-10-29 10:52:19","2024-10-29 11:09:57"
1006,human_evaluations_arm_2,"2024-10-21 17:57:30","2024-10-21 18:04:51"
1006,human_evaluations_arm_3,,
1006,human_evaluations_arm_4,"2024-11-07 10:48:35","2024-11-07 10:52:10"
1006,human_evaluations_arm_5,,
1006,human_evaluations_arm_6,"2024-11-20 18:44:46","2024-11-20 18:54:13"
1006,human_evaluations_arm_9,"2024-10-29 13:00:40","2024-10-29 13:13:59"
1006,human_evaluations_arm_10,"2024-10-29 11:11:41","2024-10-29 11:24:04"
1007,human_evaluations_arm_2,"2024-10-21 19:45:00","2024-10-21 20:04:37"
1007,human_evaluations_arm_3,,
1007,human_evaluations_arm_4,"2024-10-31 08:24:31","2024-10-31 08:32:24"
1007,human_evaluations_arm_5,,
1007,human_evaluations_arm_6,,"2024-11-20 19:43:52"
1007,human_evaluations_arm_9,"2024-10-29 14:43:06","2024-10-29 15:01:08"
1007,human_evaluations_arm_10,"2024-10-30 12:41:13","2024-10-30 13:02:15"
1008,human_evaluations_arm_2,"2024-11-20 15:53:33","2024-11-20 16:02:13"
1008,human_evaluations_arm_3,,
1008,human_evaluations_arm_4,"2024-11-06 08:49:30","2024-11-06 09:04:05"
1008,human_evaluations_arm_5,,
1008,human_evaluations_arm_6,"2024-11-22 07:52:05","2024-11-22 08:13:04"
1008,human_evaluations_arm_9,"2024-10-29 15:47:05","2024-10-29 16:08:09"
1008,human_evaluations_arm_10,"2024-10-30 13:02:48","2024-10-30 14:02:59"
1009,human_evaluations_arm_2,"2024-10-21 20:12:19","2024-10-21 20:22:24"
1009,human_evaluations_arm_3,,"2024-11-07 10:10:47"
1009,human_evaluations_arm_4,,"2024-11-22 11:04:47"
1009,human_evaluations_arm_5,,
1009,human_evaluations_arm_6,"2024-11-22 08:15:40","2024-11-22 08:28:05"
1009,human_evaluations_arm_9,"2024-10-29 17:11:09","2024-10-29 17:30:27"
1009,human_evaluations_arm_10,"2024-10-31 19:53:48","2024-10-31 20:13:02"
1010,human_evaluations_arm_2,"2024-10-22 17:39:48","2024-10-22 17:51:17"
1010,human_evaluations_arm_3,"2024-11-07 10:13:30","2024-11-07 10:34:25"
1010,human_evaluations_arm_4,"2024-10-24 11:03:43","2024-10-24 11:12:24"
1010,human_evaluations_arm_5,,
1010,human_evaluations_arm_6,,"2024-11-22 08:53:00"
1010,human_evaluations_arm_9,"2024-10-30 08:57:46","2024-10-30 09:13:12"
1010,human_evaluations_arm_10,"2024-10-31 20:15:22","2024-10-31 20:36:22"
1011,human_evaluations_arm_2,"2024-10-22 19:20:15","2024-10-22 19:30:58"
1011,human_evaluations_arm_3,"2024-11-07 11:01:00","2024-11-07 11:20:56"
1011,human_evaluations_arm_4,"2024-11-22 11:05:10","2024-11-22 11:12:18"
1011,human_evaluations_arm_5,,
1011,human_evaluations_arm_6,"2024-11-22 09:00:43","2024-11-22 09:09:41"
1011,human_evaluations_arm_9,"2024-10-30 10:41:34","2024-10-30 10:59:13"
1011,human_evaluations_arm_10,"2024-10-31 20:40:01","2024-10-31 20:56:22"
1012,human_evaluations_arm_2,"2024-10-22 20:12:41","2024-10-22 20:24:27"
1012,human_evaluations_arm_3,,"2024-11-07 11:35:07"
1012,human_evaluations_arm_4,"2024-11-22 11:14:54","2024-11-22 11:22:35"
1012,human_evaluations_arm_5,,
1012,human_evaluations_arm_6,"2024-11-22 11:32:38","2024-11-22 11:41:32"
1012,human_evaluations_arm_9,"2024-10-30 11:36:34","2024-10-30 11:49:06"
1012,human_evaluations_arm_10,"2024-10-31 20:57:17","2024-10-31 21:07:43"
1013,human_evaluations_arm_2,"2024-10-23 18:48:08","2024-10-23 18:58:20"
1013,human_evaluations_arm_3,"2024-11-07 12:46:17","2024-11-07 12:59:15"
1013,human_evaluations_arm_4,"2024-10-29 08:14:39","2024-10-29 08:27:45"
1013,human_evaluations_arm_5,,
1013,human_evaluations_arm_6,,"2024-11-22 11:52:28"
1013,human_evaluations_arm_9,"2024-10-30 12:19:17","2024-10-30 12:34:37"
1013,human_evaluations_arm_10,"2024-11-04 13:12:12","2024-11-04 13:19:28"
1014,human_evaluations_arm_2,"2024-10-23 19:09:00","2024-10-23 19:16:11"
1014,human_evaluations_arm_3,"2024-11-07 12:59:00","2024-11-07 13:16:15"
1014,human_evaluations_arm_4,,"2024-10-28 09:59:45"
1014,human_evaluations_arm_5,,
1014,human_evaluations_arm_6,"2024-11-22 12:46:14","2024-11-22 13:08:22"
1014,human_evaluations_arm_9,"2024-10-30 14:18:59","2024-10-30 14:32:26"
1014,human_evaluations_arm_10,"2024-11-04 13:19:49","2024-11-04 13:39:35"
1015,human_evaluations_arm_2,"2024-10-24 18:00:57","2024-10-24 18:09:03"
1015,human_evaluations_arm_3,"2024-11-07 15:35:24","2024-11-07 16:04:44"
1015,human_evaluations_arm_4,"2024-11-22 11:22:51","2024-11-22 11:40:36"
1015,human_evaluations_arm_5,,
1015,human_evaluations_arm_6,"2024-11-22 14:37:06","2024-11-22 14:54:29"
1015,human_evaluations_arm_9,"2024-11-06 11:14:06","2024-11-06 11:35:59"
1015,human_evaluations_arm_10,"2024-11-04 13:39:59","2024-11-04 13:57:27"
1016,human_evaluations_arm_2,"2024-10-27 20:41:45","2024-10-27 20:51:13"
1016,human_evaluations_arm_3,"2024-11-07 16:08:07","2024-11-07 16:25:40"
1016,human_evaluations_arm_4,"2024-10-28 08:56:10","2024-10-28 09:05:42"
1016,human_evaluations_arm_5,,
1016,human_evaluations_arm_6,"2024-11-25 14:55:51","2024-11-25 15:05:03"
1016,human_evaluations_arm_9,"2024-11-06 11:50:27","2024-11-06 12:10:50"
1016,human_evaluations_arm_10,"2024-11-04 20:05:54","2024-11-04 20:50:16"
1017,human_evaluations_arm_2,"2024-10-28 11:30:44","2024-10-28 11:43:16"
1017,human_evaluations_arm_3,,
1017,human_evaluations_arm_4,"2024-11-22 14:16:58","2024-11-22 14:26:05"
1017,human_evaluations_arm_5,,
1017,human_evaluations_arm_6,"2024-11-25 15:05:15","2024-11-25 15:19:40"
1017,human_evaluations_arm_9,"2024-11-06 12:30:20","2024-11-06 12:54:50"
1017,human_evaluations_arm_10,"2024-11-04 22:12:59","2024-11-04 22:29:10"
1018,human_evaluations_arm_2,"2024-10-28 11:44:11","2024-10-28 11:56:59"
1018,human_evaluations_arm_3,,
1018,human_evaluations_arm_4,,"2024-10-28 12:47:09"
1018,human_evaluations_arm_5,,
1018,human_evaluations_arm_6,"2024-11-25 15:29:29","2024-11-25 15:39:20"
1018,human_evaluations_arm_9,"2024-11-06 13:10:59","2024-11-06 13:23:51"
1018,human_evaluations_arm_10,"2024-11-06 20:25:00","2024-11-06 21:17:31"
1019,human_evaluations_arm_2,"2024-10-29 08:00:35","2024-10-29 08:09:41"
1019,human_evaluations_arm_3,,
1019,human_evaluations_arm_4,"2024-11-22 14:26:58","2024-11-22 14:40:43"
1019,human_evaluations_arm_5,,
1019,human_evaluations_arm_6,"2024-11-25 15:44:41","2024-11-25 16:02:01"
1019,human_evaluations_arm_9,"2024-11-06 13:25:02","2024-11-06 13:36:25"
1019,human_evaluations_arm_10,"2024-11-06 21:18:25","2024-11-06 21:53:06"
1020,human_evaluations_arm_2,"2024-10-29 13:19:19","2024-10-29 13:23:56"
1020,human_evaluations_arm_3,,
1020,human_evaluations_arm_4,"2024-10-31 08:35:56","2024-10-31 08:41:47"
1020,human_evaluations_arm_5,,
1020,human_evaluations_arm_6,"2024-11-25 23:59:11","2024-11-26 00:04:13"
1020,human_evaluations_arm_9,"2024-11-06 14:53:53","2024-11-06 15:00:05"
1020,human_evaluations_arm_10,"2024-11-07 18:46:43","2024-11-07 18:57:35"
1021,human_evaluations_arm_2,"2024-10-29 13:56:41","2024-10-29 14:06:37"
1021,human_evaluations_arm_3,,
1021,human_evaluations_arm_4,"2024-11-06 09:04:56","2024-11-06 09:15:43"
1021,human_evaluations_arm_5,,
1021,human_evaluations_arm_6,"2024-11-26 11:51:28","2024-11-26 12:04:36"
1021,human_evaluations_arm_9,"2024-11-06 15:00:18","2024-11-06 15:17:14"
1021,human_evaluations_arm_10,"2024-11-07 18:58:07","2024-11-07 20:18:35"
1022,human_evaluations_arm_2,"2024-10-29 14:32:27","2024-10-29 14:39:59"
1022,human_evaluations_arm_3,,
1022,human_evaluations_arm_4,"2024-11-09 03:58:24","2024-11-09 04:08:46"
1022,human_evaluations_arm_5,,
1022,human_evaluations_arm_6,"2024-11-26 12:05:31","2024-11-26 12:09:17"
1022,human_evaluations_arm_9,"2024-11-06 15:19:51","2024-11-06 15:30:10"
1022,human_evaluations_arm_10,"2024-11-07 20:18:50","2024-11-07 20:38:53"
1023,human_evaluations_arm_2,"2024-10-29 15:58:11","2024-10-29 16:00:11"
1023,human_evaluations_arm_3,,
1023,human_evaluations_arm_4,"2024-11-07 08:53:28","2024-11-07 08:53:17"
1023,human_evaluations_arm_5,,
1023,human_evaluations_arm_6,"2024-11-26 12:10:05","2024-11-26 12:13:25"
1023,human_evaluations_arm_9,"2024-11-06 15:34:32","2024-11-06 15:38:49"
1023,human_evaluations_arm_10,"2024-11-07 20:40:04","2024-11-07 20:56:53"
1024,human_evaluations_arm_2,"2024-10-30 07:08:05","2024-10-30 07:14:15"
1024,human_evaluations_arm_3,,
1024,human_evaluations_arm_4,"2024-11-09 03:54:26","2024-11-09 03:57:36"
1024,human_evaluations_arm_5,,
1024,human_evaluations_arm_6,"2024-11-26 12:15:42","2024-11-26 12:24:43"
1024,human_evaluations_arm_9,"2024-11-06 15:39:14","2024-11-06 15:47:09"
1024,human_evaluations_arm_10,"2024-11-07 21:38:00","2024-11-07 21:49:29"
1025,human_evaluations_arm_2,"2024-10-30 10:07:14","2024-10-30 10:13:59"
1025,human_evaluations_arm_3,,
1025,human_evaluations_arm_4,"2024-11-06 09:23:55","2024-11-06 09:34:42"
1025,human_evaluations_arm_5,,
1025,human_evaluations_arm_6,"2024-11-26 12:26:01","2024-11-26 12:34:03"
1025,human_evaluations_arm_9,"2024-11-06 17:56:34","2024-11-06 18:11:04"
1025,human_evaluations_arm_10,"2024-11-07 21:50:40","2024-11-07 22:07:35"
1026,human_evaluations_arm_2,"2024-10-31 07:45:31","2024-10-31 07:52:26"
1026,human_evaluations_arm_3,,
1026,human_evaluations_arm_4,"2024-10-28 09:06:14","2024-10-28 09:20:45"
1026,human_evaluations_arm_5,,
1026,human_evaluations_arm_6,"2024-11-26 12:34:38","2024-11-26 12:40:18"
1026,human_evaluations_arm_9,"2024-11-06 18:12:52","2024-11-06 18:22:04"
1026,human_evaluations_arm_10,"2024-11-07 23:53:55","2024-11-08 00:06:06"
1027,human_evaluations_arm_2,"2024-10-31 08:01:18","2024-10-31 08:14:59"
1027,human_evaluations_arm_3,,
1027,human_evaluations_arm_4,"2024-11-12 12:09:17","2024-11-12 12:19:41"
1027,human_evaluations_arm_5,,
1027,human_evaluations_arm_6,"2024-11-26 12:41:38","2024-11-26 12:52:07"
1027,human_evaluations_arm_9,"2024-11-06 18:46:12","2024-11-06 19:04:10"
1027,human_evaluations_arm_10,"2024-11-08 00:06:27","2024-11-08 00:26:19"
1028,human_evaluations_arm_2,"2024-10-31 08:31:17","2024-10-31 08:41:50"
1028,human_evaluations_arm_3,"2024-12-10 06:44:26",
1028,human_evaluations_arm_4,,"2024-11-12 12:32:22"
1028,human_evaluations_arm_5,,
1028,human_evaluations_arm_6,"2024-11-26 14:24:53","2024-11-26 14:30:28"
1028,human_evaluations_arm_9,"2024-11-06 19:04:39","2024-11-06 19:20:05"
1028,human_evaluations_arm_10,"2024-11-08 00:26:41","2024-11-08 00:40:14"
1029,human_evaluations_arm_2,"2024-11-01 06:27:32","2024-11-01 06:35:05"
1029,human_evaluations_arm_3,,
1029,human_evaluations_arm_4,"2024-11-26 15:45:00","2024-11-26 15:53:59"
1029,human_evaluations_arm_5,,
1029,human_evaluations_arm_6,"2024-11-26 14:32:30","2024-11-26 14:40:18"
1029,human_evaluations_arm_9,"2024-11-06 19:26:41","2024-11-06 19:36:54"
1029,human_evaluations_arm_10,"2024-11-11 09:37:48","2024-11-11 09:47:49"
1030,human_evaluations_arm_2,"2024-11-01 06:49:06","2024-11-01 07:03:38"
1030,human_evaluations_arm_3,,
1030,human_evaluations_arm_4,"2024-11-30 05:28:22","2024-11-30 05:32:52"
1030,human_evaluations_arm_5,,
1030,human_evaluations_arm_6,"2024-11-26 14:40:52","2024-11-26 14:51:54"
1030,human_evaluations_arm_9,"2024-11-06 19:38:25","2024-11-06 19:53:05"
1030,human_evaluations_arm_10,"2024-11-11 09:48:25","2024-11-12 10:34:19"
1031,human_evaluations_arm_2,"2024-11-01 16:04:32","2024-11-01 16:14:43"
1031,human_evaluations_arm_3,,
1031,human_evaluations_arm_4,"2024-12-02 11:40:30","2024-12-02 11:43:28"
1031,human_evaluations_arm_5,,
1031,human_evaluations_arm_6,"2024-11-26 15:28:06","2024-11-26 15:34:30"
1031,human_evaluations_arm_9,"2024-11-07 09:17:39","2024-11-07 09:41:17"
1031,human_evaluations_arm_10,"2024-11-12 10:34:29","2024-11-12 10:54:11"
1032,human_evaluations_arm_2,"2024-11-02 14:26:49","2024-11-02 14:35:18"
1032,human_evaluations_arm_3,,
1032,human_evaluations_arm_4,"2024-12-02 11:43:59","2024-12-02 12:03:40"
1032,human_evaluations_arm_5,,
1032,human_evaluations_arm_6,"2024-11-26 19:48:15","2024-11-26 20:00:29"
1032,human_evaluations_arm_9,"2024-11-20 13:01:50","2024-11-20 13:08:58"
1032,human_evaluations_arm_10,"2024-11-12 10:54:26","2024-11-12 11:11:58"
1033,human_evaluations_arm_2,"2024-11-03 09:59:38","2024-11-03 10:09:45"
1033,human_evaluations_arm_3,,
1033,human_evaluations_arm_4,"2024-12-02 12:04:02","2024-12-02 12:13:53"
1033,human_evaluations_arm_5,,
1033,human_evaluations_arm_6,"2024-11-26 20:00:50","2024-11-26 20:07:47"
1033,human_evaluations_arm_9,"2024-11-07 10:16:58","2024-11-07 10:35:08"
1033,human_evaluations_arm_10,"2024-11-13 13:42:30","2024-11-13 14:07:16"
1034,human_evaluations_arm_2,"2024-11-03 10:15:34","2024-11-03 10:25:56"
1034,human_evaluations_arm_3,,
1034,human_evaluations_arm_4,"2024-12-02 12:15:00","2024-12-02 12:21:49"
1034,human_evaluations_arm_5,,
1034,human_evaluations_arm_6,"2024-11-26 20:08:29","2024-11-26 20:16:03"
1034,human_evaluations_arm_9,"2024-11-07 10:35:58","2024-11-07 10:52:32"
1034,human_evaluations_arm_10,"2024-11-13 14:08:44","2024-11-13 14:36:43"
1035,human_evaluations_arm_2,"2024-11-03 11:11:32","2024-11-03 11:23:28"
1035,human_evaluations_arm_3,,
1035,human_evaluations_arm_4,"2024-11-14 11:42:25","2024-11-14 11:48:37"
1035,human_evaluations_arm_5,,
1035,human_evaluations_arm_6,"2024-11-26 21:27:30","2024-11-26 21:36:41"
1035,human_evaluations_arm_9,"2024-11-07 10:56:33","2024-11-07 11:13:34"
1035,human_evaluations_arm_10,"2024-11-13 14:36:58","2024-11-13 14:51:09"
1036,human_evaluations_arm_2,"2024-11-04 06:57:00","2024-11-04 07:04:49"
1036,human_evaluations_arm_3,,
1036,human_evaluations_arm_4,"2024-10-28 09:21:44","2024-10-28 09:32:48"
1036,human_evaluations_arm_5,,
1036,human_evaluations_arm_6,"2024-11-26 21:36:56","2024-11-26 21:45:56"
1036,human_evaluations_arm_9,"2024-11-08 15:41:04","2024-11-08 16:02:26"
1036,human_evaluations_arm_10,"2024-11-25 13:07:05","2024-11-25 13:16:06"
1037,human_evaluations_arm_2,"2024-11-04 08:00:27","2024-11-04 08:08:00"
1037,human_evaluations_arm_3,,
1037,human_evaluations_arm_4,,"2024-11-07 11:00:24"
1037,human_evaluations_arm_5,,
1037,human_evaluations_arm_6,"2024-11-28 04:38:41","2024-11-28 04:46:59"
1037,human_evaluations_arm_9,"2024-11-08 16:09:11","2024-11-08 16:22:50"
1037,human_evaluations_arm_10,"2024-11-25 13:16:24","2024-11-25 13:39:54"
1038,human_evaluations_arm_2,"2024-11-04 09:58:53","2024-11-04 10:04:28"
1038,human_evaluations_arm_3,,
1038,human_evaluations_arm_4,"2024-11-07 10:30:53","2024-11-07 10:35:19"
1038,human_evaluations_arm_5,,
1038,human_evaluations_arm_6,"2024-11-28 04:47:23","2024-11-28 04:54:48"
1038,human_evaluations_arm_9,"2024-11-08 16:58:11","2024-11-08 17:22:38"
1038,human_evaluations_arm_10,"2024-11-25 13:47:26","2024-11-25 14:09:23"
1039,human_evaluations_arm_2,"2024-11-05 13:00:01","2024-11-05 13:07:11"
1039,human_evaluations_arm_3,,
1039,human_evaluations_arm_4,"2024-11-26 15:59:48","2024-11-26 16:10:10"
1039,human_evaluations_arm_5,,
1039,human_evaluations_arm_6,"2024-11-28 04:55:14","2024-11-28 05:02:19"
1039,human_evaluations_arm_9,"2024-11-08 16:43:33","2024-11-08 16:56:38"
1039,human_evaluations_arm_10,"2024-11-25 14:09:35","2024-11-25 14:36:02"
1040,human_evaluations_arm_2,"2024-11-05 16:44:29","2024-11-05 16:54:18"
1040,human_evaluations_arm_3,,
1040,human_evaluations_arm_4,,"2024-11-06 09:22:35"
1040,human_evaluations_arm_5,,
1040,human_evaluations_arm_6,"2024-11-28 12:01:01","2024-11-28 12:07:08"
1040,human_evaluations_arm_9,"2024-11-08 17:22:49","2024-11-08 17:35:44"
1040,human_evaluations_arm_10,"2024-11-25 14:36:15","2024-11-25 14:54:52"
1041,human_evaluations_arm_2,"2024-11-05 18:46:18","2024-11-05 18:57:03"
1041,human_evaluations_arm_3,,
1041,human_evaluations_arm_4,"2024-11-07 09:01:15","2024-11-07 09:10:23"
1041,human_evaluations_arm_5,,
1041,human_evaluations_arm_6,"2024-11-29 15:00:05","2024-11-29 15:03:28"
1041,human_evaluations_arm_9,"2024-11-08 17:44:35","2024-11-08 17:58:19"
1041,human_evaluations_arm_10,"2024-11-25 15:47:16","2024-11-25 15:55:11"
1042,human_evaluations_arm_2,"2024-11-06 15:49:24","2024-11-06 15:57:41"
1042,human_evaluations_arm_3,,
1042,human_evaluations_arm_4,"2024-11-30 05:08:17","2024-11-30 05:15:10"
1042,human_evaluations_arm_5,,
1042,human_evaluations_arm_6,"2024-12-09 12:54:19","2024-12-09 13:04:25"
1042,human_evaluations_arm_9,"2024-11-08 17:58:56","2024-11-08 18:11:06"
1042,human_evaluations_arm_10,"2024-11-25 15:55:24","2024-11-25 16:11:23"
1043,human_evaluations_arm_2,"2024-11-07 14:00:21","2024-11-07 14:09:10"
1043,human_evaluations_arm_3,,
1043,human_evaluations_arm_4,"2024-11-12 12:47:32","2024-11-12 12:59:20"
1043,human_evaluations_arm_5,,
1043,human_evaluations_arm_6,,
1043,human_evaluations_arm_9,"2024-11-08 18:12:33","2024-11-08 18:23:53"
1043,human_evaluations_arm_10,"2024-12-10 07:49:12","2024-12-10 07:57:22"
1044,human_evaluations_arm_2,"2024-11-07 15:47:50","2024-11-07 15:59:18"
1044,human_evaluations_arm_3,,
1044,human_evaluations_arm_4,"2024-12-02 12:24:11","2024-12-02 12:28:39"
1044,human_evaluations_arm_5,,
1044,human_evaluations_arm_6,,
1044,human_evaluations_arm_9,"2024-11-09 14:27:20","2024-11-09 14:43:33"
1044,human_evaluations_arm_10,"2024-12-10 07:57:34","2024-12-10 08:17:44"
1045,human_evaluations_arm_2,"2024-11-07 16:01:48","2024-11-07 16:09:37"
1045,human_evaluations_arm_3,,
1045,human_evaluations_arm_4,"2024-12-03 09:35:22","2024-12-03 09:44:15"
1045,human_evaluations_arm_5,,
1045,human_evaluations_arm_6,,
1045,human_evaluations_arm_9,"2024-11-09 14:44:54","2024-11-09 15:04:03"
1045,human_evaluations_arm_10,"2024-12-10 08:34:10","2024-12-10 08:47:49"
1046,human_evaluations_arm_2,"2024-11-08 16:10:34","2024-11-08 16:18:27"
1046,human_evaluations_arm_3,,
1046,human_evaluations_arm_4,"2024-12-03 10:02:30","2024-12-03 10:03:33"
1046,human_evaluations_arm_5,,
1046,human_evaluations_arm_6,,
1046,human_evaluations_arm_9,"2024-11-09 15:04:18","2024-11-09 15:12:32"
1046,human_evaluations_arm_10,"2024-12-10 20:30:32","2024-12-10 20:37:37"
1047,human_evaluations_arm_2,"2024-11-08 16:53:13","2024-11-08 17:01:28"
1047,human_evaluations_arm_3,,
1047,human_evaluations_arm_4,"2024-12-03 10:05:30","2024-12-03 11:05:47"
1047,human_evaluations_arm_5,,
1047,human_evaluations_arm_6,,
1047,human_evaluations_arm_9,"2024-11-09 15:12:52","2024-11-09 15:29:32"
1047,human_evaluations_arm_10,"2024-12-10 20:37:51","2024-12-10 20:49:10"
1048,human_evaluations_arm_2,"2024-11-08 17:09:07","2024-11-08 17:16:25"
1048,human_evaluations_arm_3,,
1048,human_evaluations_arm_4,"2024-12-04 13:22:08","2024-12-04 13:41:43"
1048,human_evaluations_arm_5,,
1048,human_evaluations_arm_6,,
1048,human_evaluations_arm_9,"2024-11-09 15:47:16","2024-11-09 15:58:38"
1048,human_evaluations_arm_10,"2024-12-10 20:49:34","2024-12-10 21:03:08"
1049,human_evaluations_arm_2,"2024-11-08 17:21:24","2024-11-08 17:26:12"
1049,human_evaluations_arm_3,,
1049,human_evaluations_arm_4,"2024-12-04 13:41:57","2024-12-04 13:45:53"
1049,human_evaluations_arm_5,,
1049,human_evaluations_arm_6,,
1049,human_evaluations_arm_9,"2024-11-09 18:48:56","2024-11-09 18:56:15"
1049,human_evaluations_arm_10,"2024-12-11 07:36:05","2024-12-11 07:44:02"
1050,human_evaluations_arm_2,"2024-11-09 10:13:09","2024-11-09 10:18:07"
1050,human_evaluations_arm_3,,
1050,human_evaluations_arm_4,"2024-12-04 13:50:54","2024-12-04 14:04:20"
1050,human_evaluations_arm_5,,
1050,human_evaluations_arm_6,,
1050,human_evaluations_arm_9,"2024-11-09 18:58:22","2024-11-09 19:06:22"
